epoch,train_loss,train_accuracy,train_recall,train_dice,val_loss,val_accuracy,val_recall,val_dice,lr
1,0.9895008877913157,0.9215568860371902,0.6464737969456273,0.5505239943476474,0.7123368954658509,0.9475343132019025,0.8281933406988548,0.6921934417493842,0.0009990133642141358
2,0.5288641055425009,0.9608725802103673,0.7379280458219174,0.7370422661650299,0.4168685692548752,0.970610923767088,0.7156662755395033,0.7762417163484759,0.000996057350657239
3,0.3873404383659363,0.9686363093058262,0.7815179945336352,0.7873820017740106,0.3081709110736847,0.9736292076110822,0.8740285863779339,0.8252258739060151,0.0009911436253643444
4,0.3349147391319275,0.9724795405069981,0.8071475048244454,0.8133924291178191,0.24192531645298004,0.9821034431457502,0.8500880705506739,0.8712479655546903,0.0009842915805643156
5,0.31562147657076517,0.9739172808329258,0.8159780387419179,0.8229908343024498,0.2367080745100975,0.9814699554443341,0.8769315138333992,0.8708327793525489,0.0009755282581475769
6,0.3069685102502505,0.9747047742207839,0.8210962576109917,0.8283038591373467,0.2346893233060837,0.9815179061889631,0.8694716248949427,0.8701617882570745,0.0009648882429441258
7,0.3091659882664681,0.9744473711649572,0.8200949618214735,0.8266844357178419,0.25354730188846586,0.9818875694274884,0.8128654767189873,0.8647451222525716,0.0009524135262330099
8,0.29812176098426185,0.9755103556315099,0.8263345156147057,0.8337413378531185,0.21159883290529252,0.984989299774168,0.8614777965278175,0.8910190446951782,0.0009381533400219318
9,0.2932093577583631,0.9758293596903478,0.8291627505645747,0.8360198362826434,0.20419184744358063,0.9840776824951154,0.8864709281495092,0.8880358376308417,0.0009221639627510075
10,0.28967688942948977,0.9761873181660965,0.8313417645923838,0.8384109231720668,0.22712175220251082,0.9821663284301739,0.8698449005035507,0.8741909180449513,0.0009045084971874736
11,0.2906068069736163,0.9760920969645177,0.831103226383277,0.8378305414313978,0.21173825711011887,0.9832204818725567,0.8759822584298733,0.8814771722336382,0.0008852566213878945
12,0.28409281889597576,0.9766612688700352,0.8337796798471504,0.8415070175769576,0.2336406484246254,0.9822602844238263,0.8619667500868693,0.8737706484374712,0.0008644843137107056
13,0.2863211016356945,0.9764459101359044,0.8334317973657199,0.840222095349255,0.19767637684941292,0.9862950897216779,0.8602987918616047,0.8994232174906378,0.0008422735529643443
14,0.2825612177948157,0.9767075347900385,0.8350762393955021,0.8419783430773691,0.18454745247960092,0.9863390731811505,0.8631794941552948,0.9000148534395359,0.0008187119948743448
15,0.28104620705048244,0.976912797292073,0.8364326901728261,0.8433669947576066,0.20815466433763505,0.9841208648681622,0.8754635820641103,0.8870598309242719,0.0007938926261462366
